bbl,tax_year,stmt_date,semantic_status,parse_status,market_value,assessed_value,taxable_value,estimated_property_tax,estimated_gross_income,estimated_expenses,net_operating_income,base_cap_rate_percent,overall_cap_rate_percent,market_value_source,assessed_value_source,taxable_value_source,estimated_property_tax_source,estimated_gross_income_source,estimated_expenses_source,net_operating_income_source,base_cap_rate_percent_source,overall_cap_rate_percent_source,source_pdf_path,parse_notes
2032370067,2022,20220115,valid_statement,ok,11549000,,4999741,611718.31,3133601.0,1568000.0,1565601.0,,13.556,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20220115_NPV.pdf,Core financial fields extracted.
2032370067,2023,20230115,valid_statement,ok,11932000,,4932570,605078.36,3362079.0,1750000.0,1612079.0,,13.51,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20230115_NPV.pdf,Core financial fields extracted.
2032370067,2024,20240115,valid_statement,ok,13169000,,5113734,639319.02,3125979.0,1300000.0,1825979.0,,13.866,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20240115_NPV.pdf,Core financial fields extracted.
2032370067,2025,20250115,valid_statement,ok,14732000,,5260029,657503.63,3111957.0,1051644.0,2060313.0,,13.985,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20250115_NPV.pdf,Core financial fields extracted.
2032370067,2026,20260116,valid_statement,ok,14340000,,5636349,701105.45,3256458.0,1263506.0,1992952.0,,13.898,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/2032370067/20260116_NPV.pdf,Core financial fields extracted.
3052190040,2017,20170115,valid_statement,ok,,,,,1503480.0,743160.0,760320.0,,9.858,missing_in_document,missing_in_document,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,missing_in_document,parsed_direct,data/raw/3052190040/20170115_NPV.pdf,Core financial fields extracted.
3052190040,2018,20180115,valid_statement,ok,,,,,1833480.0,1105405.0,728075.0,,8.54,missing_in_document,missing_in_document,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,missing_in_document,parsed_direct,data/raw/3052190040/20180115_NPV.pdf,Core financial fields extracted.
3052190040,2019,20190115,valid_statement,ok,,,1930946,243530.91,1690920.0,865920.0,825000.0,,9.29,missing_in_document,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20190115_NPV.pdf,Core financial fields extracted.
3052190040,2020,20200115,valid_statement,ok,6212000,,2192619,273485.37,1956240.0,1075800.0,880440.0,,14.173,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20200115_NPV.pdf,Core financial fields extracted.
3052190040,2021,20210115,valid_statement,ok,5169000,,2217761,272052.74,1821827.0,1092529.0,729298.0,,14.11,parsed_direct,missing_in_document,parsed_direct,parsed_direct,parsed_direct,parsed_direct,derived,missing_in_document,parsed_direct,data/raw/3052190040/20210115_NPV.pdf,Core financial fields extracted.
